layer,expert_from,expert_to,observed,expected,ratio
0,5,0,0.002300091553479433,4.9457299610367045e-05,46.49721145629883
5,38,15,0.0011969864135608077,2.6612955480231903e-05,44.96068572998047
13,45,39,0.006319384090602398,0.0001494967727921903,42.26821517944336
3,35,41,0.004212922882288694,0.00010676994861569256,39.45425033569336
15,30,39,0.0045767128467559814,0.0001241601858055219,36.8583869934082
21,46,54,0.007046964019536972,0.00019213107589166611,36.67599105834961
4,27,24,0.002775365486741066,7.642176933586597e-05,36.311676025390625
14,49,32,0.0068415990099310875,0.00019285768212284893,35.473018646240234
11,57,49,0.0051400004886090755,0.00014914150233380497,34.46160888671875
15,44,35,0.005368836224079132,0.00015632538998033851,34.3417854309082
2,39,39,0.000727579987142235,2.1232192011666484e-05,34.25164031982422
12,22,15,0.0074224891141057014,0.00021820233087055385,34.014984130859375
18,14,26,0.0017250686651095748,5.146716284798458e-05,33.51133728027344
2,57,40,0.0057443613186478615,0.00017786565877031535,32.29425048828125
17,4,10,0.009393996559083462,0.00029809228726662695,31.51266098022461
3,43,4,0.008906987495720387,0.00029795971931889653,29.892255783081055
18,45,32,0.0041718496941030025,0.00014023251424077898,29.74739646911621
13,32,20,0.007416621781885624,0.0002548503689467907,29.100725173950195
4,45,13,0.0067125121131539345,0.0002307566028321162,29.0878849029541
16,2,4,0.004312671720981598,0.00014894998457748443,28.951881408691406
16,7,23,0.005955594126135111,0.000209438891033642,28.434593200683594
13,47,49,0.001971506979316473,6.964885687921196e-05,28.302316665649414
15,30,3,0.0006102283950895071,2.1883442968828604e-05,27.87265396118164
17,46,43,0.006026004906743765,0.0002168846840504557,27.783092498779297
0,45,45,0.019515572115778923,0.0007041514618322253,27.71462631225586
14,26,30,0.0026345436926931143,9.56823059823364e-05,27.53140640258789
16,35,46,0.003866735612973571,0.00014058375381864607,27.502897262573242
22,59,4,0.006530616898089647,0.0002377607161179185,27.466028213500977
9,3,52,0.0034207995049655437,0.0001250659697689116,27.349775314331055
13,22,26,0.004717534873634577,0.00017458100046496838,27.020492553710938
7,1,38,0.003015936352312565,0.00011161444126628339,27.01860237121582
2,39,35,0.0010561645030975342,3.9555867260787636e-05,26.693828582763672
10,28,29,0.0019304340239614248,7.25167483324185e-05,26.616857528686523
5,18,2,0.002182740019634366,8.204834739444777e-05,26.599853515625
14,46,29,0.004600183106958866,0.000174016211531125,26.433853149414062
16,17,41,0.0021534019615501165,8.145872561726719e-05,26.432254791259766
13,25,37,0.00586758041754365,0.00022230671311262995,26.39288902282715
3,29,45,0.004764475394040346,0.0001817507582018152,26.212894439697266
2,52,43,0.009393996559083462,0.0003595991584006697,26.12279510498047
8,23,59,0.006102283485233784,0.00023587176110595465,25.870094299316406
17,11,10,0.0040779681876301765,0.00015795795479789376,25.815160751342773
1,10,52,0.008331963792443275,0.0003242136735934764,25.698196411132812
16,8,4,0.00700589083135128,0.00027434105868451297,25.536226272583008
12,49,12,0.003262374782934785,0.0001281065196963027,25.464122772216797
19,48,13,0.0034794751554727554,0.00013722872245125473,25.353450775146484
2,9,13,0.0070410966873168945,0.0002780051145236939,25.32630729675293
9,14,28,0.003068744670599699,0.00012145032087573782,25.265409469604492
12,50,19,0.0024233106523752213,9.66008665272966e-05,25.083209991455078
9,19,32,0.00217100465670228,8.685236389283091e-05,24.99361801147461
0,59,10,0.008519726805388927,0.00034170199069194496,24.932477951049805
