layer,primary_weight_mean,primary_weight_std,primary_weight_median,weight_diff_mean,weight_diff_std,weight_ratio_mean,weight_ratio_median,selected_entropy_mean,selected_entropy_std
0,0.62588656,0.09558898,0.60766315,0.25177306,0.19117796,1.9613786,1.5488302,0.9240189,0.102407515
1,0.6258772,0.089106604,0.611382,0.2517545,0.17821321,1.8918502,1.573221,0.9282778,0.08872842
2,0.619185,0.08995086,0.6001884,0.23836999,0.17990172,1.8659917,1.5011779,0.9324911,0.0934121
3,0.6287146,0.09388442,0.611382,0.2574292,0.18776885,1.9663548,1.573221,0.9229647,0.099838085
4,0.63677144,0.09464957,0.62245935,0.2735429,0.18929914,2.0207272,1.6487213,0.91616875,0.099073246
5,0.6237741,0.09541363,0.60206157,0.2475482,0.19082727,1.9539102,1.5129517,0.9256486,0.10322498
6,0.61887443,0.08984809,0.6001884,0.23774885,0.17969619,1.8429177,1.5011778,0.9329663,0.0893396
7,0.6093376,0.081978045,0.59266657,0.21867532,0.16395609,1.7199129,1.4549913,0.94401914,0.07561607
8,0.60700995,0.08299876,0.5888891,0.21401986,0.16599752,1.7320807,1.432434,0.9448397,0.07973286
9,0.6108583,0.08633891,0.59266657,0.22171658,0.17267781,1.7604007,1.4549913,0.9405425,0.08330011
10,0.6045003,0.08093835,0.58604914,0.20900051,0.1618767,1.6840588,1.4157456,0.9476311,0.074251994
11,0.60199785,0.0806117,0.5813031,0.20399569,0.1612234,1.6750149,1.3883625,0.94926524,0.07541718
12,0.6030544,0.08022219,0.5851011,0.20610875,0.16044438,1.6751773,1.410226,0.94885415,0.074337386
13,0.60865873,0.0861171,0.5888891,0.21731737,0.1722342,1.9228255,1.432434,0.94158137,0.09329959
14,0.6085697,0.08157727,0.59266657,0.21713932,0.16315454,1.7160765,1.4549913,0.9446875,0.07613779
15,0.6157542,0.08805315,0.59643316,0.2315083,0.17610632,1.8097413,1.4779042,0.93618286,0.08738006
16,0.62697875,0.096402496,0.60766315,0.25395757,0.19280499,2.1023014,1.5488302,0.9221211,0.11248321
17,0.6376416,0.10434032,0.61508787,0.27528325,0.20868064,2.3480318,1.5979954,0.90777594,0.12941039
18,0.6558707,0.11525995,0.6334103,0.31174123,0.2305199,2.611795,1.727845,0.88259065,0.15199885
19,0.65820956,0.11604551,0.6370308,0.31641918,0.23209102,2.6426675,1.7550546,0.87963974,0.15385258
20,0.65378755,0.1185721,0.6261242,0.30757493,0.2371442,2.707343,1.6746849,0.88145167,0.16060838
21,0.65257245,0.11490659,0.62977463,0.30514485,0.22981317,2.5643935,1.7010573,0.88609743,0.1501079
22,0.6415405,0.113064125,0.6150878,0.28308097,0.22612825,2.5401163,1.5979953,0.897161,0.15062378
23,0.62637526,0.10034103,0.60206157,0.2527504,0.20068206,2.04509,1.5129517,0.92025435,0.11311267
