layer,primary_weight_mean,primary_weight_std,primary_weight_median,weight_diff_mean,weight_diff_std,weight_ratio_mean,weight_ratio_median,selected_entropy_mean,selected_entropy_std
0,0.6269616,0.09737443,0.60766315,0.2539231,0.19474886,1.9798481,1.5488302,0.9221153,0.103655614
1,0.6148573,0.08710483,0.59643316,0.22971463,0.17420965,1.7900627,1.4779043,0.93747073,0.08326804
2,0.623975,0.0953136,0.60393184,0.24795002,0.1906272,1.9662075,1.524818,0.92537683,0.10649558
3,0.6282398,0.09569539,0.61138195,0.2564796,0.19139078,1.9861519,1.5732207,0.922117,0.10337846
4,0.6325316,0.094361916,0.61508787,0.26506317,0.18872383,1.9811457,1.5979954,0.91979426,0.0984529
5,0.62018466,0.09547678,0.5983122,0.24036923,0.19095355,2.0295815,1.4894955,0.92755073,0.11445681
6,0.6120913,0.08422724,0.5945513,0.22418252,0.16845448,1.747962,1.4664031,0.9410166,0.07796915
7,0.6109151,0.08579287,0.59266657,0.22183014,0.17158574,1.7635813,1.4549913,0.940721,0.08479817
8,0.6063581,0.08079337,0.5888891,0.21271618,0.16158675,1.6913028,1.432434,0.946591,0.07301593
9,0.60564274,0.082135245,0.5888891,0.21128544,0.16427049,1.69391,1.432434,0.9463342,0.07458013
10,0.5986569,0.07696403,0.58130306,0.19731387,0.15392806,1.6193082,1.3883624,0.9532785,0.06608871
11,0.5959181,0.07562291,0.5794004,0.19183609,0.15124582,1.597046,1.3775584,0.9555026,0.064503066
12,0.5969268,0.07471235,0.5794004,0.19385366,0.1494247,1.6006516,1.3775582,0.95535487,0.06379164
13,0.6045181,0.0893742,0.5851011,0.20903625,0.1787484,2.54478,1.4102259,0.9406066,0.12407126
14,0.60637075,0.08093806,0.5888892,0.21274152,0.16187613,1.6951125,1.432434,0.9464799,0.07388967
15,0.6086558,0.082964875,0.5888892,0.21731162,0.16592975,1.7246639,1.432434,0.9438846,0.07801975
16,0.62273186,0.098286875,0.60206157,0.24546386,0.19657375,2.4856813,1.5129516,0.9228627,0.13148606
17,0.6327486,0.10413103,0.60952413,0.2654972,0.20826206,2.8683712,1.5609779,0.9107923,0.14270836
18,0.6389631,0.10465125,0.61693585,0.27792627,0.2093025,2.2007058,1.6105287,0.9068593,0.1244551
19,0.64014345,0.1067848,0.61878043,0.28028685,0.2135696,2.269899,1.6231601,0.9040711,0.13071992
20,0.6514292,0.11537468,0.62795115,0.30285844,0.23074935,2.6945782,1.6878194,0.8861391,0.15784436
21,0.6392402,0.10468589,0.61878043,0.27848056,0.20937178,2.2614455,1.6231602,0.9063715,0.12763555
22,0.632502,0.10617812,0.60766315,0.26500398,0.21235624,2.2487857,1.5488302,0.9107054,0.13103548
23,0.63286877,0.101016745,0.61138195,0.2657375,0.20203349,2.080772,1.5732208,0.9146691,0.115510255
