layer,primary_weight_mean,primary_weight_std,primary_weight_median,weight_diff_mean,weight_diff_std,weight_ratio_mean,weight_ratio_median,selected_entropy_mean,selected_entropy_std
0,0.61767757,0.09410284,0.59643316,0.23535505,0.18820567,1.8582107,1.4779042,0.9312465,0.09439138
1,0.60615546,0.08140534,0.5888891,0.21231088,0.16281068,1.6897167,1.432434,0.9464414,0.07256322
2,0.6111052,0.09010121,0.5888892,0.22221035,0.18020242,1.823502,1.432434,0.93779176,0.096503586
3,0.62367296,0.0949333,0.60393184,0.24734597,0.1898666,1.9207528,1.5248178,0.92623967,0.09878967
4,0.612273,0.08872865,0.5888892,0.22454599,0.1774573,1.7804121,1.432434,0.93824595,0.08615551
5,0.6153773,0.09225794,0.59643316,0.23075439,0.18451588,1.9159571,1.4779042,0.9334299,0.10217394
6,0.6048623,0.08058414,0.5888891,0.20972452,0.16116828,1.6826288,1.432434,0.94761395,0.07325382
7,0.6068259,0.08391585,0.5888891,0.21365184,0.1678317,1.715225,1.432434,0.9445427,0.07905216
8,0.59531176,0.07934147,0.575588,0.19062348,0.15868294,1.6125675,1.356201,0.953937,0.070723265
9,0.61889946,0.087602325,0.60393184,0.23779891,0.17520465,1.8170049,1.5248178,0.9344222,0.08282297
10,0.6001226,0.07979748,0.58130306,0.20024514,0.15959495,1.6414899,1.3883623,0.95097464,0.07005522
11,0.5963709,0.08052555,0.575588,0.19274177,0.1610511,1.6282583,1.356201,0.95267737,0.07356846
12,0.6052064,0.08386309,0.5832034,0.2104128,0.16772619,1.69819,1.3992516,0.9456732,0.07685835
13,0.6093078,0.0918091,0.5851012,0.21861568,0.1836182,2.3088448,1.410226,0.9368424,0.115952976
14,0.6053821,0.08426859,0.5851011,0.2107641,0.16853718,1.7046591,1.410226,0.9453063,0.07825102
15,0.6130864,0.08678964,0.5926666,0.22617297,0.17357928,1.7839892,1.4549915,0.93874,0.0853839
16,0.61951107,0.09872606,0.5926666,0.2390222,0.19745211,2.2446668,1.4549915,0.925698,0.12092809
17,0.6263247,0.10397477,0.6001884,0.25264952,0.20794953,2.542901,1.5011778,0.9165645,0.13441165
18,0.63877386,0.10524946,0.61693585,0.27754766,0.21049891,2.19884,1.6105287,0.9066515,0.12425106
19,0.62658155,0.1038292,0.5983122,0.25316316,0.2076584,2.0637147,1.4894955,0.9176591,0.11835886
20,0.6351197,0.112049095,0.605799,0.27023932,0.22409819,2.3956656,1.536777,0.9036772,0.14512618
21,0.6309842,0.10871651,0.6001884,0.2619683,0.21743302,2.1785517,1.5011779,0.91041553,0.12927614
22,0.62780595,0.10588504,0.59643316,0.2556119,0.21177007,2.1090446,1.4779043,0.9151226,0.123196475
23,0.6106234,0.099510774,0.5794004,0.22124678,0.19902155,1.9254954,1.3775582,0.93189114,0.1133533
