layer,entropy_mean,entropy_std,entropy_median,entropy_min,entropy_max
0,0.9289929,0.06608477,0.9518346,0.21644329,0.99374366
1,0.9426621,0.03882148,0.95313346,0.26599535,0.99218494
2,0.93616915,0.0423592,0.9476838,0.27462536,0.9892688
3,0.91622764,0.05157872,0.92929965,0.25946528,0.9863011
4,0.9068694,0.04931738,0.917686,0.30029032,0.9882246
5,0.8940454,0.06206763,0.9079396,0.38718772,0.98527217
6,0.8986625,0.05830528,0.91013205,0.24926943,0.99055725
7,0.8688868,0.058852185,0.878616,0.4322296,0.98517585
8,0.8624901,0.062297348,0.87354577,0.35429937,0.98375154
9,0.8597926,0.06400715,0.87039757,0.3441693,0.98186946
10,0.8558962,0.065914094,0.86703223,0.27025238,0.9805006
11,0.8496909,0.069643855,0.86287487,0.30287677,0.9815896
12,0.84187824,0.06706284,0.85351115,0.2492827,0.9802846
13,0.8350634,0.0811768,0.8499712,0.26238498,0.97816074
14,0.8334193,0.07402349,0.84614635,0.3099932,0.9789505
15,0.81972,0.08561021,0.832953,0.23580116,0.97847354
16,0.8090016,0.09888256,0.8248756,0.20950589,0.97807467
17,0.8053826,0.108567156,0.82676363,0.14787827,0.978759
18,0.80194366,0.12518755,0.8378327,0.08129422,0.97870535
19,0.8222507,0.12058127,0.8610294,0.1208813,0.9857952
20,0.8237895,0.12521106,0.86211383,0.11330423,0.9833085
21,0.82329077,0.13033584,0.8679569,0.05794205,0.98490614
22,0.82872975,0.13057685,0.8711395,0.056038275,0.9896721
23,0.8311663,0.13102476,0.8818524,0.025096878,0.98850936
