layer,mean_util,std_util,min_util,max_util,coef_variation,dead_expert_count,overload_expert_count,entropy_mean,entropy_std
0,0.01666666567325592,0.009627711027860641,0.00399600388482213,0.06250891834497452,0.5825374722480774,0,4,0.9316309094429016,0.06425260007381439
1,0.01666666753590107,0.01069720834493637,0.001712573110125959,0.051948051899671555,0.6472489237785339,0,5,0.9433386325836182,0.03902862221002579
2,0.01666666753590107,0.010595303028821945,0.003425146220251918,0.06165263429284096,0.6410830616950989,0,4,0.9395552277565002,0.04053294658660889
3,0.01666666753590107,0.009518494829535484,0.0027115740813314915,0.044526901096105576,0.5759292840957642,0,4,0.9198707938194275,0.05177433043718338
4,0.01666666753590107,0.011115982197225094,0.002426145365461707,0.05908377468585968,0.6725873947143555,0,6,0.911909282207489,0.04692139849066734
5,0.01666666753590107,0.009233344346284866,0.0014271442778408527,0.052376195788383484,0.5586757659912109,1,3,0.8957549333572388,0.06373466551303864
6,0.01666666753590107,0.008803953416645527,0.0008562865550629795,0.04152989760041237,0.532694935798645,1,3,0.8992929458618164,0.060993991792201996
7,0.01666666753590107,0.007998168468475342,0.006564863491803408,0.044098757207393646,0.48393988609313965,0,4,0.8698761463165283,0.059690117835998535
8,0.01666666753590107,0.006749708205461502,0.003567860694602132,0.03867560997605324,0.40840014815330505,0,2,0.8631085753440857,0.06272296607494354
9,0.01666666753590107,0.008864318951964378,0.004281432833522558,0.03867560997605324,0.536347508430481,0,3,0.862608015537262,0.06256884336471558
10,0.01666666753590107,0.006871670950204134,0.006422149483114481,0.03853289410471916,0.41577962040901184,0,2,0.8579232692718506,0.06422144174575806
11,0.01666666753590107,0.009234226308763027,0.005994006060063839,0.04937919229269028,0.5587292313575745,0,4,0.8504700064659119,0.06810532510280609
12,0.01666666567325592,0.007983640767633915,0.004852290730923414,0.0395318977534771,0.48306089639663696,0,4,0.8407247066497803,0.06590286642313004
13,0.01666666753590107,0.007822655141353607,0.005994006060063839,0.0401027537882328,0.47332024574279785,0,4,0.8355130553245544,0.08243639022111893
14,0.01666666753590107,0.0079741096124053,0.005280433688312769,0.04281432926654816,0.48248422145843506,0,3,0.8357847332954407,0.07589530944824219
15,0.01666666567325592,0.009455162100493908,0.002283430891111493,0.05052090808749199,0.5720973014831543,0,4,0.8226292133331299,0.08668271452188492
16,0.01666666753590107,0.008825595490634441,0.001712573110125959,0.041672613471746445,0.5340044498443604,0,5,0.8146125078201294,0.1002744808793068
17,0.01666666753590107,0.008542349562048912,0.0047095762565732,0.05009276419878006,0.5168662667274475,0,3,0.8126850724220276,0.10965276509523392
18,0.01666666753590107,0.01034973468631506,0.0005708577227778733,0.06907378137111664,0.6262245178222656,1,3,0.8091595768928528,0.12213188409805298
19,0.01666666753590107,0.00911326240748167,0.0012844298034906387,0.05223347991704941,0.5514101386070251,1,3,0.8302708268165588,0.1173030436038971
20,0.01666666567325592,0.008026426658034325,0.00385328964330256,0.03896103799343109,0.4856496751308441,0,4,0.8306953310966492,0.12797459959983826
21,0.01666666753590107,0.008412652648985386,0.00399600388482213,0.04566861689090729,0.5090188384056091,0,2,0.8321828246116638,0.13215592503547668
22,0.01666666753590107,0.009114529937505722,0.00399600388482213,0.04795204848051071,0.5514867901802063,0,3,0.837142288684845,0.13096792995929718
23,0.01666666753590107,0.011430320329964161,0.003567860694602132,0.06636220961809158,0.6916068196296692,0,6,0.8427916765213013,0.1310824304819107
