layer,spearman_rho,p_value
0,0.09787256049225751,0.0
1,0.185202030960791,0.0
2,0.26023697599449974,0.0
3,0.1912272843275713,0.0
4,0.19276779464857874,0.0
5,0.21564476069011768,0.0
6,0.22244657049413483,0.0
7,0.24124659086667727,0.0
8,0.22238512495778084,0.0
9,0.26079243676750663,0.0
10,0.28172384534714184,0.0
11,0.2626431843131997,0.0
12,0.3038015365536437,0.0
13,0.33856391055535606,0.0
14,0.2949423585199418,0.0
15,0.2776622258328395,0.0
16,0.29484935676745416,0.0
17,0.2948354810213816,0.0
18,0.285915865550114,0.0
19,0.27122512101377166,0.0
20,0.29428602154175987,0.0
21,0.2768351975452314,0.0
22,0.25938434423664425,0.0
23,0.2529602376821164,0.0
