layer,primary_weight_mean,primary_weight_std,primary_weight_median,weight_diff_mean,weight_diff_std,weight_ratio_mean,weight_ratio_median,selected_entropy_mean,selected_entropy_std
0,0.6225106,0.09574484,0.60206157,0.2450212,0.19148968,1.9241261,1.5129517,0.9265596,0.10012092
1,0.6185197,0.0873937,0.6039318,0.2370394,0.1747874,1.8209558,1.5248178,0.9347216,0.084563546
2,0.61975706,0.09197009,0.6001884,0.23951413,0.18394019,1.8937484,1.5011779,0.9307589,0.098046005
3,0.6264445,0.09389609,0.6076632,0.25288916,0.18779218,1.9434984,1.5488304,0.92475635,0.09859251
4,0.6277416,0.093167454,0.61138195,0.25548324,0.18633491,1.9318004,1.5732207,0.9243614,0.09505707
5,0.6214218,0.09384758,0.6001884,0.24284364,0.18769516,1.9450668,1.5011779,0.92826754,0.10274734
6,0.61395144,0.08613922,0.59643316,0.22790283,0.17227843,1.7779242,1.4779042,0.93863136,0.08208714
7,0.6098736,0.08377088,0.59266657,0.21974717,0.16754176,1.7370423,1.4549913,0.9426429,0.07938212
8,0.6076103,0.083974354,0.5888891,0.21522056,0.16794871,1.7295302,1.432434,0.94397193,0.07998581
9,0.6116089,0.08614894,0.5926666,0.22321789,0.17229788,1.7667476,1.4549915,0.94014204,0.083298944
10,0.60587424,0.082777135,0.5869964,0.21174856,0.16555427,1.7059755,1.4212865,0.94575745,0.07758841
11,0.6013568,0.08072406,0.5813031,0.20271371,0.16144812,1.665902,1.3883625,0.9496266,0.07470768
12,0.60349345,0.080838665,0.5851011,0.20698692,0.16167733,1.6796814,1.410226,0.94827515,0.07481975
13,0.6088118,0.08884333,0.5888891,0.21762365,0.17768666,2.096858,1.4324338,0.9394231,0.10510161
14,0.6079206,0.083127156,0.5907792,0.21584122,0.16625431,1.7223701,1.4436685,0.9442455,0.07873413
15,0.6164071,0.08890923,0.59643316,0.23281434,0.17781846,1.8238795,1.4779043,0.93519187,0.08933907
16,0.62351686,0.09630382,0.6039318,0.24703386,0.19260764,2.1568418,1.5248178,0.9246005,0.11490407
17,0.6341038,0.10522692,0.6095242,0.26820755,0.21045384,2.460725,1.5609779,0.90975314,0.13407904
18,0.64835995,0.11146068,0.62612414,0.29672,0.22292136,2.443061,1.6746849,0.8929852,0.14180362
19,0.64933234,0.11444775,0.62612414,0.29866472,0.2288955,2.4985313,1.6746849,0.8896245,0.14736418
20,0.64489985,0.11602988,0.6169358,0.28979972,0.23205976,2.597787,1.6105287,0.8917835,0.15548125
21,0.63996565,0.11147974,0.6132366,0.27993122,0.22295947,2.3791156,1.5855598,0.9003935,0.14062667
22,0.6320462,0.1085924,0.60393184,0.26409248,0.2171848,2.3059893,1.5248178,0.90907943,0.13689643
23,0.61636853,0.09664422,0.5907792,0.232737,0.19328845,1.9267913,1.4436686,0.9300654,0.10656851
