layer,primary_weight_mean,primary_weight_std,primary_weight_median,weight_diff_mean,weight_diff_std,weight_ratio_mean,weight_ratio_median,selected_entropy_mean,selected_entropy_std
0,0.6211764,0.09458326,0.6001884,0.24235281,0.18916652,1.9189221,1.5011779,0.9281176,0.101660125
1,0.6251213,0.08716013,0.611382,0.25024247,0.17432027,1.8682467,1.5732208,0.9300667,0.08444053
2,0.6134018,0.086249,0.59643316,0.2268035,0.172498,1.7901905,1.4779043,0.93880284,0.08547142
3,0.62586594,0.09130126,0.61138195,0.2517319,0.18260252,1.9059181,1.5732208,0.9269964,0.091276065
4,0.64067984,0.09365322,0.62977463,0.28135967,0.18730643,2.0394182,1.7010573,0.913599,0.096858464
5,0.61855185,0.093782745,0.5964331,0.23710367,0.18756549,1.8994175,1.4779042,0.9305151,0.10023849
6,0.6171622,0.08859736,0.6001884,0.23432441,0.17719471,1.8157904,1.5011779,0.93500453,0.085727766
7,0.6102868,0.08239666,0.59266657,0.2205735,0.16479331,1.7308576,1.4549913,0.94315064,0.077039614
8,0.605363,0.08312906,0.58699644,0.21072602,0.16625813,1.7083585,1.4212866,0.9459065,0.077684596
9,0.61268675,0.085345946,0.59455127,0.22537348,0.17069189,1.765242,1.4664031,0.93991005,0.08174099
10,0.59987605,0.078357056,0.58130306,0.19975217,0.15671411,1.631266,1.3883623,0.95189875,0.06712345
11,0.6003026,0.076967,0.5832034,0.20060515,0.153934,1.6283529,1.3992516,0.95233154,0.065671995
12,0.60877955,0.08249679,0.5926666,0.21755895,0.1649936,1.7222264,1.4549913,0.94406813,0.07733286
13,0.60922337,0.08594698,0.5888892,0.21844669,0.17189395,1.933583,1.432434,0.9412848,0.09386179
14,0.6042143,0.07499736,0.59266657,0.20842858,0.14999472,1.6486658,1.4549913,0.95088387,0.064686745
15,0.6208078,0.08926153,0.6039318,0.24161568,0.17852306,1.8521602,1.5248178,0.93193376,0.088796906
16,0.6254053,0.09587617,0.60393184,0.25081056,0.19175234,2.0654316,1.5248178,0.9238229,0.1091607
17,0.6301825,0.101463795,0.6057991,0.260365,0.20292759,2.2358468,1.5367773,0.9160555,0.12234073
18,0.6458663,0.11075557,0.61878043,0.2917325,0.22151116,2.4814925,1.6231602,0.8954527,0.14483471
19,0.6533737,0.11242605,0.6370308,0.3067474,0.2248521,2.4979358,1.7550546,0.8875046,0.14492346
20,0.65033257,0.11986368,0.6206216,0.30066523,0.23972736,2.7425964,1.635891,0.883407,0.16426362
21,0.64258677,0.1151579,0.6150878,0.28517357,0.2303158,2.4764535,1.5979953,0.89494836,0.14955708
22,0.642595,0.11271026,0.61508787,0.28519005,0.22542052,2.5483034,1.5979954,0.89659536,0.14954406
23,0.6176958,0.09555321,0.5936093,0.23539162,0.19110642,1.9274251,1.4606862,0.9299427,0.10344782
