layer,primary_weight_mean,primary_weight_std,primary_weight_median,weight_diff_mean,weight_diff_std,weight_ratio_mean,weight_ratio_median,selected_entropy_mean,selected_entropy_std
0,0.6078154,0.094621055,0.5851011,0.21563081,0.18924211,1.8068871,1.410226,0.93744546,0.097060375
1,0.6120472,0.08469344,0.59643316,0.22409423,0.16938688,1.7463043,1.4779044,0.9408612,0.07689929
2,0.62089,0.09190583,0.60393184,0.24177986,0.18381166,1.8840599,1.5248178,0.93016165,0.09476889
3,0.62182224,0.09213772,0.6039318,0.24364452,0.18427543,1.8762994,1.5248178,0.92948955,0.09223054
4,0.6264612,0.09095875,0.60766315,0.2529224,0.1819175,1.8953128,1.5488303,0.9268542,0.088860884
5,0.6259297,0.09185775,0.6095242,0.25185946,0.1837155,1.9471619,1.5609779,0.926294,0.098210044
6,0.6127212,0.08777957,0.59266657,0.22544241,0.17555913,1.7736894,1.4549913,0.9385771,0.083252
7,0.6126759,0.08310578,0.59643316,0.22535183,0.16621156,1.74994,1.4779043,0.94120944,0.07741452
8,0.61242175,0.0856269,0.5964331,0.22484349,0.1712538,1.7601384,1.4779042,0.940002,0.08037706
9,0.61564535,0.08559018,0.5983122,0.2312907,0.17118035,1.785562,1.4894955,0.9378078,0.08106429
10,0.6149695,0.08588253,0.59643316,0.22993894,0.17176506,1.7834691,1.4779043,0.93807983,0.08211492
11,0.60752434,0.08152375,0.5888891,0.21504857,0.1630475,1.7127155,1.432434,0.94535995,0.076884314
12,0.60751706,0.081082255,0.59077924,0.21503414,0.16216451,1.7040722,1.4436686,0.94567555,0.07433142
13,0.6111008,0.08969049,0.5888891,0.22220147,0.17938098,2.004513,1.432434,0.9376488,0.10283693
14,0.60852313,0.084039435,0.59077924,0.21704623,0.16807887,1.7262548,1.4436686,0.9434177,0.07878052
15,0.6326786,0.095009774,0.61508787,0.26535732,0.19001955,1.994557,1.5979954,0.91922915,0.10011726
16,0.6200177,0.09386283,0.6001884,0.24003533,0.18772566,2.004976,1.5011779,0.9292423,0.10311561
17,0.63891745,0.10689224,0.61508787,0.27783498,0.21378449,2.3929534,1.5979954,0.9049048,0.13226168
18,0.6417627,0.10482093,0.6206216,0.28352535,0.20964186,2.2499585,1.635891,0.9042659,0.12617627
19,0.64717585,0.11546925,0.61878043,0.2943516,0.2309385,2.4113708,1.6231602,0.89124995,0.14288062
20,0.62215513,0.10529384,0.5907792,0.24431027,0.21058768,2.134294,1.4436686,0.91942567,0.12769186
21,0.6262483,0.10875851,0.5926666,0.25249642,0.21751703,2.2086234,1.4549915,0.9136565,0.13489419
22,0.61090875,0.09461149,0.5851012,0.2218174,0.18922298,1.86758,1.410226,0.9351239,0.10294646
23,0.6038597,0.08708014,0.5813031,0.20771946,0.17416029,1.7342715,1.3883625,0.94448036,0.08644811
