layer,primary_weight_mean,primary_weight_std,primary_weight_median,weight_diff_mean,weight_diff_std,weight_ratio_mean,weight_ratio_median,selected_entropy_mean,selected_entropy_std
0,0.6468533,0.100211985,0.6334103,0.29370672,0.20042397,2.1891398,1.727845,0.90352875,0.11618211
1,0.6167674,0.089169025,0.59643316,0.23353478,0.17833805,1.8014987,1.4779043,0.9352496,0.08276299
2,0.6358369,0.11109674,0.60766315,0.27167374,0.22219348,2.302487,1.5488302,0.90409607,0.14424747
3,0.65311277,0.10174623,0.6370308,0.30622557,0.20349246,2.3296413,1.7550546,0.8961291,0.12807675
4,0.62864393,0.09598846,0.61138195,0.25728792,0.19197693,1.9543394,1.5732207,0.92202103,0.09982701
5,0.63942516,0.11317839,0.61508787,0.27885044,0.22635677,2.6274328,1.5979954,0.8980671,0.16296844
6,0.6060033,0.07581989,0.5926666,0.21200669,0.15163976,1.6545458,1.4549915,0.94961673,0.06119878
7,0.6172982,0.09046495,0.6001884,0.23459634,0.1809299,1.8555322,1.5011779,0.9335124,0.097506315
8,0.61487377,0.08681243,0.60206157,0.22974756,0.17362484,1.7832077,1.5129517,0.9378326,0.08129468
9,0.614343,0.09258934,0.5926666,0.22868606,0.18517868,1.8319882,1.4549913,0.9346377,0.0923974
10,0.59467816,0.07441313,0.57367843,0.18935621,0.14882626,1.5791966,1.3456471,0.95693016,0.061508376
11,0.609196,0.08731257,0.5907792,0.21839201,0.17462514,1.7534139,1.4436686,0.94116837,0.08581132
12,0.598565,0.07312179,0.58130306,0.19713007,0.14624359,1.6052055,1.3883623,0.9552059,0.06377457
13,0.6123809,0.10725548,0.5888891,0.22476187,0.21451096,4.491369,1.432434,0.9190873,0.19364361
14,0.60749286,0.084540024,0.59455127,0.21498571,0.16908005,1.7101423,1.4664031,0.9440894,0.075278394
15,0.61209714,0.08245387,0.5926666,0.2241943,0.16490774,1.8032095,1.4549913,0.9415448,0.08841685
16,0.6295182,0.122116566,0.59455127,0.25903648,0.24423313,3.9873593,1.466403,0.89629793,0.19595696
17,0.62818897,0.12175682,0.5869964,0.256378,0.24351364,4.5972047,1.4212865,0.8967911,0.2026442
18,0.6478771,0.11519233,0.60766315,0.29575428,0.23038466,2.4800754,1.5488302,0.8904954,0.14998084
19,0.6560617,0.11797793,0.63522243,0.31212336,0.23595586,2.618305,1.7413967,0.88014823,0.15967546
20,0.6624342,0.12092619,0.64422506,0.32486835,0.24185237,3.2772465,1.8107659,0.8693055,0.18402119
21,0.6321179,0.100779146,0.611382,0.264236,0.20155829,2.0710511,1.573221,0.9155852,0.11593094
22,0.6450888,0.10850376,0.6297746,0.29017758,0.2170075,2.3917105,1.7010573,0.89822227,0.14022365
23,0.6267802,0.09780018,0.6039318,0.25356048,0.19560036,1.9858507,1.5248178,0.9219891,0.10729568
