layer,primary_weight_mean,primary_weight_std,primary_weight_median,weight_diff_mean,weight_diff_std,weight_ratio_mean,weight_ratio_median,selected_entropy_mean,selected_entropy_std
0,0.63026166,0.09512153,0.611382,0.26052338,0.19024307,1.9711931,1.573221,0.92112696,0.098814
1,0.6195985,0.08842308,0.60393184,0.23919693,0.17684616,1.8364406,1.5248178,0.93333757,0.08644563
2,0.6238667,0.09150768,0.60766315,0.24773325,0.18301536,1.9268725,1.5488303,0.92797893,0.098939754
3,0.62605786,0.090790935,0.611382,0.25211567,0.18158187,1.9115965,1.573221,0.927066,0.09239666
4,0.62706095,0.09031374,0.61138195,0.25412193,0.18062748,1.9087685,1.5732208,0.9266227,0.09129223
5,0.61736757,0.08995046,0.6001884,0.23473512,0.17990091,1.8861165,1.5011778,0.9335973,0.096659675
6,0.60997725,0.08200916,0.5926666,0.2199545,0.16401832,1.7232656,1.4549915,0.94362277,0.074702375
7,0.6072387,0.08159127,0.5888891,0.21447736,0.16318254,1.7056648,1.432434,0.9455404,0.0759357
8,0.60573614,0.081461735,0.5888891,0.2114722,0.16292347,1.693841,1.432434,0.9465936,0.07474864
9,0.606244,0.08233261,0.5888891,0.21248803,0.16466522,1.7035314,1.4324338,0.9457862,0.076497674
10,0.5991535,0.077805094,0.58130306,0.19830705,0.15561019,1.6308445,1.3883624,0.95250446,0.06900437
11,0.59412974,0.07472107,0.57749534,0.18825951,0.14944214,1.5844923,1.3668379,0.95691156,0.064158514
12,0.5985087,0.07755399,0.58130306,0.19701749,0.15510798,1.6356114,1.3883624,0.9529252,0.070861936
13,0.60093945,0.08304352,0.58130306,0.20187883,0.16608705,2.0100763,1.3883624,0.947668,0.09725558
14,0.6023912,0.07933642,0.5851012,0.20478226,0.15867284,1.6697454,1.410226,0.94968355,0.07403986
15,0.6093769,0.08552969,0.5888891,0.21875376,0.17105938,1.7574294,1.432434,0.94185585,0.08476347
16,0.6206397,0.09397177,0.6001884,0.24127926,0.18794353,2.119185,1.5011778,0.92819667,0.111941345
17,0.6276864,0.09911759,0.6057991,0.25537282,0.19823518,2.334841,1.5367773,0.9192642,0.12350177
18,0.6439586,0.10739064,0.6224593,0.2879173,0.21478128,2.3338344,1.6487211,0.9001885,0.13365227
19,0.6405285,0.107567504,0.61693585,0.28105694,0.21513501,2.297951,1.6105287,0.9030729,0.13298908
20,0.64405054,0.11157246,0.61878043,0.28810108,0.22314492,2.531824,1.6231602,0.89621985,0.14790367
21,0.63340265,0.103781916,0.61138195,0.26680535,0.20756383,2.1828477,1.5732207,0.9119068,0.12512122
22,0.6255522,0.10076231,0.6001884,0.25110447,0.20152462,2.1262934,1.5011779,0.9200554,0.12195529
23,0.6095538,0.08978294,0.58699644,0.21910766,0.17956588,1.8006635,1.4212866,0.9391528,0.09297629
