layer,primary_weight_mean,primary_weight_std,primary_weight_median,weight_diff_mean,weight_diff_std,weight_ratio_mean,weight_ratio_median,selected_entropy_mean,selected_entropy_std
0,0.6187672,0.091802955,0.6001884,0.23753431,0.18360591,1.8469441,1.5011778,0.9319779,0.0907307
1,0.6212966,0.09160955,0.6039318,0.24259312,0.1832191,1.8932126,1.5248178,0.9300111,0.09593912
2,0.6324972,0.10096817,0.6076632,0.2649944,0.20193633,2.1285594,1.5488304,0.9145846,0.12280124
3,0.6340634,0.10167766,0.6150878,0.26812682,0.20335533,2.1045048,1.5979953,0.913399,0.11493581
4,0.636785,0.09888063,0.61508787,0.27356997,0.19776127,2.074108,1.5979953,0.9131122,0.11108064
5,0.62877667,0.09480523,0.61508787,0.25755337,0.18961047,2.1091912,1.5979954,0.92148596,0.11607469
6,0.619663,0.08466245,0.61138195,0.23932591,0.1693249,1.8032244,1.5732208,0.93564564,0.0774576
7,0.6210202,0.087940834,0.6039318,0.24204043,0.17588167,1.8468947,1.5248178,0.93254757,0.08813599
8,0.6206151,0.09015409,0.60393184,0.24123023,0.18030818,1.8499159,1.5248178,0.93163735,0.088868685
9,0.61460763,0.08942882,0.59643316,0.22921532,0.17885764,1.809763,1.4779042,0.93619806,0.08951882
10,0.6187076,0.091402985,0.6001884,0.23741525,0.18280599,1.8657467,1.5011778,0.9320359,0.09482362
11,0.60068804,0.08349549,0.57749534,0.20137599,0.16699098,1.6737963,1.3668379,0.9485885,0.07829461
12,0.60128033,0.07899216,0.5794004,0.20256057,0.15798432,1.646132,1.3775582,0.95072824,0.06924335
13,0.61598396,0.09884087,0.5926666,0.2319679,0.19768174,2.784981,1.4549915,0.92675495,0.13971555
14,0.60810673,0.078692645,0.59455127,0.21621352,0.15738529,1.6836189,1.466403,0.9467334,0.06666952
15,0.623883,0.09670121,0.60206157,0.24776599,0.19340242,1.9609655,1.5129516,0.9246874,0.1070894
16,0.6261191,0.10295321,0.6001884,0.2522382,0.20590642,2.6576345,1.5011779,0.91670084,0.14343019
17,0.63715625,0.10703804,0.6095242,0.27431253,0.21407609,2.9818444,1.5609779,0.9048954,0.14947341
18,0.6653538,0.11532202,0.64779824,0.33070737,0.23064405,2.6883152,1.8392816,0.8731386,0.15418181
19,0.66833824,0.11939976,0.6584175,0.33667636,0.23879953,2.8493886,1.9275504,0.8664607,0.16177118
20,0.6840673,0.13141839,0.6570985,0.3681346,0.26283678,3.6671965,1.9162893,0.83600473,0.19997248
21,0.6598088,0.11470443,0.63522243,0.31961757,0.22940888,2.8437629,1.7413967,0.87835175,0.16214709
22,0.6582957,0.122835435,0.6334103,0.31659147,0.24567087,3.1329775,1.727845,0.87267375,0.17534713
23,0.62019247,0.09846968,0.59455127,0.24038498,0.19693938,1.998088,1.4664031,0.9258215,0.115908906
